height,length,width,driveline,engine,gears,transmission,cty,fuel_type,hwy,id,make,model_year,year,hp,torque,model,km_per_l_cty,km_per_l_hwy
221,222,254,Front-wheel drive,Nissan 2.5L 4 cylinder 200 hp 180 ft-lbs,6,Manual,21,Gasoline,28,2011 Nissan Sentra SE-R Spec V,Nissan,2011 Nissan Sentra,2011,200,180,Nissan Sentra,7.400881057268723,9.86784140969163
231,214,254,Front-wheel drive,Nissan 2.0L 4 cylinder 140 hp 147 ft-lbs,6,Manual,24,Gasoline,31,2011 Nissan Sentra 2.0,Nissan,2011 Nissan Sentra,2011,140,147,Nissan Sentra,8.458149779735685,10.92511013215859
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Coupe 1LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Coupe 1LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Coupe 2LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Coupe 2LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Coupe 3LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Coupe 3LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Coupe 4LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Coupe 4LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Coupe,2012,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
114,12,247,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6,Automatic,18,Gasoline,27,2011 BMW 335i xDrive Coup AT,BMW,2011 BMW 3 Series Coup,2011,300,300,BMW 3 Series Coup,6.343612334801763,9.515418502202644
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6,Automatic,18,Gasoline,28,2011 BMW 328i Coup AT,BMW Motorrad,2011 BMW 3 Series Coup,2011,230,200,BMW 3 Series Coup,6.343612334801763,9.86784140969163
114,12,247,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6,Manual,17,Gasoline,25,2011 BMW 328i xDrive Coup,BMW Motorrad,2011 BMW 3 Series Coup,2011,230,200,BMW 3 Series Coup,5.991189427312776,8.810572687224669
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6,Automatic,19,Gasoline,28,2011 BMW 335i Coup AT,BMW,2011 BMW 3 Series Coup,2011,300,300,BMW 3 Series Coup,6.696035242290749,9.86784140969163
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6,Manual,18,Gasoline,28,2011 BMW 328i Coup,BMW Motorrad,2011 BMW 3 Series Coup,2011,230,200,BMW 3 Series Coup,6.343612334801763,9.86784140969163
114,12,247,All-wheel drive,BMW 3.0L 6 cylinder 230hp 200 ft-lbs,6,Automatic,17,Gasoline,26,2011 BMW 328i xDrive Coup AT,BMW Motorrad,2011 BMW 3 Series Coup,2011,230,200,BMW 3 Series Coup,5.991189427312776,9.162995594713657
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 320 hp 332 ft-lbs Turbo,6,Manual,18,Gasoline,26,2011 BMW 335is Coup,BMW,2011 BMW 3 Series Coup,2011,320,332,BMW 3 Series Coup,6.343612334801763,9.162995594713657
114,12,247,All-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6,Manual,19,Gasoline,26,2011 BMW 335i xDrive Coup,BMW,2011 BMW 3 Series Coup,2011,300,300,BMW 3 Series Coup,6.696035242290749,9.162995594713657
94,12,247,Rear-wheel drive,BMW 3.0L 6 cylinder 300 hp 300 ft-lbs Turbo,6,Manual,19,Gasoline,28,2011 BMW 335i Coup,BMW,2011 BMW 3 Series Coup,2011,300,300,BMW 3 Series Coup,6.696035242290749,9.86784140969163
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Coupe 1LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Coupe 1LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Coupe 2LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Coupe 2LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Coupe 3LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Coupe 3LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Coupe 4LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Coupe 4LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Coupe,2011,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
190,5,62,Rear-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7,Automatic,15,Gasoline,23,2011 Mercedes-Benz E550 Sedan,Mercedes,2011 Mercedes-Benz E-Class Sedan,2011,382,391,Mercedes-Benz E-Class Sedan,5.286343612334802,8.105726872246697
190,5,62,All-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7,Automatic,15,Gasoline,23,2011 Mercedes-Benz E550 4Matic Sedan,Mercedes,2011 Mercedes-Benz E-Class Sedan,2011,382,391,Mercedes-Benz E-Class Sedan,5.286343612334802,8.105726872246697
190,5,62,Rear-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7,Automatic,17,Gasoline,24,2011 Mercedes-Benz E350 Sedan,Mercedes,2011 Mercedes-Benz E-Class Sedan,2011,268,258,Mercedes-Benz E-Class Sedan,5.991189427312776,8.458149779735685
162,22,79,Rear-wheel drive,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,7,Automatic,13,Gasoline,20,2011 Mercedes-Benz E63 AMG,AMG,2011 Mercedes-Benz E-Class Sedan,2011,518,465,Mercedes-Benz E-Class Sedan,4.581497797356828,7.048458149779735
190,5,62,Rear-wheel drive,Mercedes-Benz 3.0L 6 Cylinder 210 hp 400 ft-lbs Turbo Diesel,7,Automatic,22,Diesel fuel,33,2011 Mercedes-Benz E350 BlueTEC Sedan,Mercedes,2011 Mercedes-Benz E-Class Sedan,2011,210,400,Mercedes-Benz E-Class Sedan,7.75330396475771,11.629955947136565
190,5,62,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7,Automatic,17,Gasoline,24,2011 Mercedes-Benz E350 4Matic Sedan,Mercedes,2011 Mercedes-Benz E-Class Sedan,2011,268,258,Mercedes-Benz E-Class Sedan,5.991189427312776,8.458149779735685
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Coupe 1LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Coupe 1LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Coupe 2LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Coupe 2LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Coupe 3LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Coupe 3LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Coupe 4LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Coupe 4LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Coupe,2010,430,424,Chevrolet Corvette Grand Sport Coupe,5.286343612334802,8.810572687224669
216,30,62,All-wheel drive,Mercedes-Benz 3.5L 6 Cylinders 268 hp 258 ft-lbs,7,Automatic,16,Gasoline,23,2011 Mercedes-Benz E350 4Matic Wagon,Mercedes,2011 Mercedes-Benz E-Class Wagon,2011,268,258,Mercedes-Benz E-Class Wagon,5.638766519823789,8.105726872246697
138,78,31,Four-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7,Automatic,11,Gasoline,15,2010 Mercedes-Benz G550,Mercedes,2010 Mercedes-Benz G-Class,2010,382,391,Mercedes-Benz G-Class,3.876651982378855,5.286343612334802
138,78,64,Four-wheel drive,Mercedes-AMG 5.4L 8 Cylinder 500 hp 516 ft-lbs S-Charged,5,Automatic,11,Gasoline,15,2010 Mercedes-Benz G55 AMG,Mercedes-AMG,2010 Mercedes-Benz G-Class,2010,500,516,Mercedes-Benz G-Class,3.876651982378855,5.286343612334802
138,78,31,Four-wheel drive,Mercedes-Benz 5.5L 8 Cylinder 382 hp 391 ft-lbs,7,Automatic,11,Gasoline,15,2011 Mercedes-Benz G550,Mercedes,2011 Mercedes-Benz G-Class,2011,382,391,Mercedes-Benz G-Class,3.876651982378855,5.286343612334802
138,78,31,All-wheel drive,Mercedes-AMG 5.4L 8 Cylinder 500 hp 516 ft-lbs S-Charged,5,Automatic,11,Gasoline,13,2011 Mercedes-Benz G55 4Matic AMG,Mercedes-AMG,2011 Mercedes-Benz G-Class,2011,500,516,Mercedes-Benz G-Class,3.876651982378855,4.581497797356828
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Convertible 1LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Convertible 1LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Convertible 2LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Convertible 2LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Convertible 3LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Convertible 3LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2012 Chevrolet Corvette Grand Sport Convertible 4LT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2012 Chevrolet Corvette Grand Sport Convertible 4LT AT,Chevrolet,2012 Chevrolet Corvette Grand Sport Convertible,2012,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Convertible 1LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Convertible 1LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Convertible 2LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Convertible 2LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Convertible 3LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Convertible 3LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2011 Chevrolet Corvette Grand Sport Convertible 4LT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2011 Chevrolet Corvette Grand Sport Convertible 4LT AT,Chevrolet,2011 Chevrolet Corvette Grand Sport Convertible,2011,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Convertible 1LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Convertible 1LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Convertible 2LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Convertible 2LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Convertible 3LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Convertible 1LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Manual,16,Gasoline,26,2010 Chevrolet Corvette Grand Sport Convertible 4LT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.638766519823789,9.162995594713657
212,108,135,Rear-wheel drive,Chevrolet 6.2L 8 Cylinder 430 hp 424 ft-lbs,6,Automatic,15,Gasoline,25,2010 Chevrolet Corvette Grand Sport Convertible 4LT AT,Chevrolet,2010 Chevrolet Corvette Grand Sport Convertible,2010,430,424,Chevrolet Corvette Grand Sport Convertible,5.286343612334802,8.810572687224669
223,2,49,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Manual,16,Gasoline,26,2010 Cadillac CTS Sport Sedan,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,5.638766519823789,9.162995594713657
193,2,49,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan AWD,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
64,29,217,Rear-wheel drive,Cadillac 6.2L 8 Cylinder 403 hp 417 ft-lbs FFV,6,Automatic,14,Gasoline,18,2011 Cadillac Escalade ESV,Cadillac,2011 Cadillac Escalade ESV,2011,403,417,Cadillac Escalade ESV,4.933920704845815,6.343612334801763
223,2,49,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Manual,16,Gasoline,26,2010 Cadillac CTS Sport Sedan Luxury,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,5.638766519823789,9.162995594713657
193,2,49,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan Luxury AWD,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
223,2,49,Rear-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan Performance,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
193,2,49,All-wheel drive,Cadillac 3.0L 6 Cylinder 270 hp 223 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan Performance AWD,Cadillac,2010 Cadillac CTS Sport Sedan,2010,270,223,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
193,2,49,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Manual,16,Gasoline,25,2010 Cadillac CTS Sport Sedan 3.6L Performance MT,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,5.638766519823789,8.810572687224669
193,2,49,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan 3.6L Performance AWD,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
193,2,49,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Manual,16,Gasoline,25,2010 Cadillac CTS Sport Sedan Premium MT,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,5.638766519823789,8.810572687224669
193,2,49,All-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan Premium AWD,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
193,2,49,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan 3.6L Performance,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
193,2,49,Rear-wheel drive,Cadillac 3.6L 6 Cylinder 304 hp 273 ft-lbs,6,Automatic,18,Gasoline,27,2010 Cadillac CTS Sport Sedan Premium,Cadillac,2010 Cadillac CTS Sport Sedan,2010,304,273,Cadillac CTS Sport Sedan,6.343612334801763,9.515418502202644
200,143,19,All-wheel drive,Mitsubishi 2.0L 4 Cylinder 291 hp 300 ft-lbs Turbo,5,Manual,17,Gasoline,23,2011 Mitsubishi Lancer Evolution GSR,Mitsubishi,2011 Mitsubishi Lancer Evolution,2011,291,300,Mitsubishi Lancer Evolution,5.991189427312776,8.105726872246697
200,143,19,All-wheel drive,Mitsubishi 2.0L 4 Cylinder 291 hp 300 ft-lbs Turbo,5,Manual,16,Gasoline,22,2010 Mitsubishi Lancer Evolution GSR,Mitsubishi,2010 Mitsubishi Lancer Evolution,2010,291,300,Mitsubishi Lancer Evolution,5.638766519823789,7.75330396475771
236,230,226,Front-wheel drive,Mitsubishi 2.0L 4 Cylinder 148 hp 145 ft-lbs,5,Manual,24,Gasoline,32,2011 Mitsubishi Lancer Sportback ES,Mitsubishi,2011 Mitsubishi Lancer Sportback,2011,148,145,Mitsubishi Lancer Sportback,8.458149779735685,11.277533039647578
